image,diameter,avg.length,node,edge,type,
openresty,1,1,67,72,Tools/Services,Web 应用服务器
composer,3,1.373702422,125,183,Tools/Services,
cloud-sdk,1,1,99,99,Tools/Services,
tidyverse,2,1.008264463,119,120,Tools/Services,package management
shiny,1,1,51,50,Tools/Services,
rstudio,1,1,59,59,Tools/Services,
redis,1,1,87,86,Tools/Services,
postgres,3,1.014634146,399,405,Tools/Services,
mysql,1,1,247,250,Tools/Services,
mongo,1,1,129,129,Tools/Services,
maven,2,1.0016,611,624,Tools/Services,
mariadb,1,1,78,77,Tools/Services,
logstash,1,1,104,104,Tools/Services,
kibana,1,1,52,51,Tools/Services,
jenkins,1,1,257,258,Tools/Services,
gradle,1,1,95,95,Tools/Services,
gcc,1,1,70,69,Tools/Services,
fluentd,1,1,92,91,Tools/Services,
docker-base,1,1,79,80,Tools/Services,
docker,3,1.035294118,361,412,Tools/Services,
dind,1,1,49,55,Tools/Services,
ansible,1,1,64,63,Tools/Services,
wordpress,1,1,106,106,Tools/Services,
wildfly,1,1,90,90,Tools/Services,
tomcat,3,1.082568807,446,504,Tools/Services,
scipy-notebook,3,1.047619048,79,81,Tools/Services,
r-base,1,1,198,199,Tools/Services,
rabbitmq,1,1,75,74,Tools/Services,
nginx-proxy,1,1,46,45,Tools/Services,
nginx-php-fpm,1,1,66,72,Tools/Services,
nginx-php,1,1,60,60,Tools/Services,
nginx,4,1.094481236,1971,2113,Tools/Services,
minimal-notebook,2,1.012048193,76,82,Tools/Services,
miniconda3,1,1,116,117,Tools/Services,
miniconda,1,1,69,68,Tools/Services,
httpd,2,1.054621849,210,225,Tools/Services,
haproxy,1,1,117,116,Tools/Services,
elasticsearch,2,1.011976048,163,165,Tools/Services,
docker-nginx,1,1,42,42,Tools/Services,
datascience-notebook,1,1,60,59,Tools/Services,
apache-php,2,1.045112782,120,127,Tools/Services,
apache,1,1,71,93,Tools/Services,
ubuntu-debootstrap,1,1,73,85,Other,与busybox类似
aspnetcore-build,1,1,129,217,Other,编译应用的
scratch,10,3.882023838,681,1102,Other,
buildpack-deps,7,2.894001017,450,852,Other,
baseimage,7,2.97496124,1557,2642,Other,
base,10,3.65048946,952,1720,Other,
busybox,5,1.423897582,446,518,Other,
php-fpm,2,1.037037037,48,52,Other,php 的补丁包  进程管理器
ubuntu-base,5,1.613733906,117,151,Operating Systems,
ubuntu,13,4.558098658,14976,22535,Operating Systems,
rpi-raspbian,1,1,62,61,Operating Systems,
ros,1,1,84,83,Operating Systems,
oraclelinux,2,1.029850746,60,65,Operating Systems,
opensuse,4,1.635338346,100,144,Operating Systems,
minideb-extras,4,1.298076923,65,84,Operating Systems,
minideb,3,1.113207547,86,95,Operating Systems,
kali-linux-docker,1,1,70,71,Operating Systems,
fedora,8,2.638900458,746,962,Operating Systems,
debian,10,3.815781171,6532,9571,Operating Systems,
centos7,3,1.070707071,68,93,Operating Systems,
centos,8,3.590304896,3689,5273,Operating Systems,
base-centos7,1,1,74,73,Operating Systems,
base-alpine,4,1.488,70,88,Operating Systems,
archlinux,5,1.396325459,253,312,Operating Systems,
android,3,1.24691358,56,66,Operating Systems,
amazonlinux,1,1,100,100,Operating Systems,
alpine-glibc,5,1.425149701,165,240,Operating Systems,
alpine-base,4,1.274774775,141,179,Operating Systems,
alpine,10,3.874565765,8303,12222,Operating Systems,
nodejs,2,1.006849315,250,290,Language Runtime,JavaScript runtime
node,7,1.915292123,7368,8089,Language Runtime,与 node.js一样
alpine-node,2,1.02173913,721,855,Language Runtime,
rust,1,1,71,71,Language Runtime,
ruby,4,1.038691847,3976,4203,Language Runtime,
python,8,1.171872665,5884,6131,Language Runtime,
php,8,1.828634273,2419,2930,Language Runtime,
perl,1,1,98,98,Language Runtime,
openjdk,5,2.062131672,1686,2437,Language Runtime,
java8,1,1,74,79,Language Runtime,
java,8,1.59055355,1862,2253,Language Runtime,
haskell,1,1,67,66,Language Runtime,
golang,4,1.162577447,3293,3522,Language Runtime,
elixir,1,1,137,138,Language Runtime,
clojure,1,1,102,102,Language Runtime,
base-jdk,2,1.047619048,70,80,Language Runtime,
alpine-oraclejdk8,2,1.006622517,126,150,Language Runtime,
alpine-java,5,1.964102564,194,275,Language Runtime,
tensorflow,1,1,109,108,Application Infrastructure/Frameworks,
spark,1,1,43,43,Application Infrastructure/Frameworks,
rails,1,1,61,60,Application Infrastructure/Frameworks,
mono,1,1,117,118,Application Infrastructure/Frameworks,
meteord,1,1,76,75,Application Infrastructure/Frameworks,
lamp,1,1,66,69,Application Infrastructure/Frameworks,
drupal,1,1,47,49,Application Infrastructure/Frameworks,
dotnet,2,1.034482759,292,308,Application Infrastructure/Frameworks,
cuda,3,1.09762533,278,346,Application Infrastructure/Frameworks,
biocontainers,1,1,57,57,Application Infrastructure/Frameworks,
aspnetcore,1,1,136,136,Application Infrastructure/Frameworks,
